state,x,y
Albania,41,-203
Cyprus,238,272
France,-208,-89
Greece,74,-224
Switzerland,-123,-96
United Kingdom,-223,42
Iceland,-264,249
Norway,-96,170
Sweden,-41,194
Italy,-58,-192
Ireland,-291,42
Finland,46,183
Estonia,61,129
Latvia,66,97
Lithuania,52,75
Portugal,-345,-180
Russia,220,181
Spain,-296,-186
Turkey,211,-205
Belgium,-158,-22
Netherlands,-145,13
Luxemburg,-145,-37
Germany,-107,-8
Austria,-38,-83
Slovenia,-43,-116
Croatia,-11,-115
Bosnia And Herzegowina,7,-145
Montenegro,27,-168
Bulgaria,107,-162
North Macedonia,65,-187
Kosovo,51,-171
Romania,96,-89
Serbia,37.0 -124.0
Hungary,3,-86
Czech Repulic,-33,-43
Poland,11,5